ID;Position;Bytes
0740;1;00
0720;0;00
0717;4;00
05FF;0;00
05F1;0;00
0558;0;84
0555;0;0E
0505;0;7B
0502;0;00
0479;0;00
0459;0;00
0449;0;00
0448;0;00
0439;0;00
0429;0;00
0428;0;00
0425;0;00
0420;0;28
0419;0;00
0418;1;05
0410;1;00
0401;0;7D
03FE;2;00
03FD;1;00
03FC;1;00
03FA;7;FF
03F8;0;83
03F7;0;00
03F4;5;01
03F3;2;04
03F0;0;00
03EF;0;00
03DF;0;00
03DC;0;40
03D5;1;00
03D1;0;82
03CB;1;00
03CA;0;00
03C9;0;03
03C3;0;55
03C2;4;00
03B8;0;00
03AF;7;FF
039E;0;FF
039D;4;00
0395;1;00
0391;2;00
0389;5;80
037E;2;00
0371;1;00
036F;0;08
036C;0;00
0369;0;10
035E;0;FF
035D;1;00
0353;1;0F
0350;0;00
034F;3;01
034E;0;FF
033E;0;00
0334;0;1F
032E;0;00
032B;0;00
0329;0;00
0326;1;00
0321;4;02
031E;3;14
0318;0;16
030F;3;01
030E;0;00
0303;0;03
02F8;5;DE
02E8;1;00
02D3;1;01
02D1;0;FF
02C6;3;00
02C5;2;00
02BC;3;00
02BB;2;00
02B4;3;00
02A8;1;00
0293;0;00
0284;0;10
027D;0;01
026E;1;00
0267;3;00
025F;0;C4
025E;1;BF
0259;0;D3
0257;6;00
024E;1;FF
024A;0;00
0249;3;00
0247;4;00
023E;0;F4
0239;5;7D
0238;2;9A
0235;1;01
0234;3;09
0231;2;00
0229;2;00
0227;2;00
0221;2;55
021E;1;00
0211;2;41
0186;7;00
0148;4;12
0145;2;00
0129;6;FF
0128;0;00
0118;6;00
0108;7;00
0103;0;22
0102;0;22
0051;2;0A
004F;6;79
0031;2;02
